Designator,Footprint,Quantity,Value,LCSC Part #
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,150K,
C18,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,100nF,
C22,CP_Radial_D5.0mm_P2.50mm,1,1uF 100V,
C23,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,220pF,
C1,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,22pF,
C16,CP_Radial_D5.0mm_P2.50mm,1,4.7uF 16V,
C21,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,100nF,
C14,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,100nF,
C11,CP_Radial_D5.0mm_P2.50mm,1,1uF 100V,
C3,CP_Radial_D5.0mm_P2.50mm,1,"2,2uF 100V",
C17,CP_Radial_D5.0mm_P2.50mm,1,1uF 100V,
C19,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,100nF,
C4,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,100nF,
C7,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,100nF,
C8,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,100nF,
C9,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,100nF,
C12,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,100nF,
J2,rca_yellow,1,Video,
C15,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,100nF,
CV1,TrimmerCap-THT,1,30pF,
D1,LED_D5.0mm,1,LED,
J1,BarrelJack_Horizontal,1,Barrel_Jack,
J3,rca_white,1,Audio,
JOY2,DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,1,DB9 Controle 2,
Q3,TO-92_HandSolder,1,BC557,
Q4,TO-92_HandSolder,1,BC548,
Q2,TO-126-3_Vertical,1,BD136,
Q1,TO-92_HandSolder,1,BC548,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
R19,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,22K,
R20,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,12K,
R13,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,100R,
R17,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,100R,
R37,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,150R,
R41,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
R31,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,2K2,
R28,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,220R,
R40,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,68R,
DZ1,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4756A,
R27,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
R29,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
R33,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
R36,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
R39,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
R12,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,330R,
R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,680R,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,560R,
R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1K,
R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
R10,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,220R,
SLOT1,Conector_NES_72pinos,1,72-Pin_Connector,
U4,DIP-40_W15.24mm,1,UA6547_CPU,
U1,DIP-24_W15.24mm,1,UM6116 VRAM,
U2,DIP-24_W15.24mm,1,UM6116 WRAM,
U8,DIP-20_W7.62mm,1,74LS373,
U7,DIP-16_W7.62mm,1,74HC139,
U11,DIP-16_W7.62mm,1,74HC368,
U3,DIP-14_W7.62mm,1,74HC04,
U5,DIP-14_W7.62mm,1,4013,
U9,TO-220-3_Vertical,1,LM7805_TO220,
Y1,Crystal_HC18-U_Vertical,1,21.453366 MHz,
JOY1,DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,1,DB9 Controle 1,
R24,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
R18,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
R23,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
R25,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
R14,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
R22,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
R15,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
R30,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,47K,
C24,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,220pF,
R21,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
C6,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,47pF,
U10,DIP-16_W7.62mm,1,74HC368,
SW2,SW_PUSH_6mm,1,RESET,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1M,
R26,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
U6,DIP-40_W15.24mm,1,UA6548_PPU,
C5,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,220pF,
C13,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,100nF,
R32,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
R34,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
C2,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,100nF,
SW1,SW_PUSH_6mm,1,POWER,
C20,CP_Radial_D5.0mm_P2.50mm,1,100uF 100V,
TP9,TestPoint_Pad_1.0x1.0mm,1,+5V,
TP8,TestPoint_Pad_1.0x1.0mm,1,CPU AUDIO 2,
TP6,TestPoint_Pad_1.0x1.0mm,1,EXP AUDIO,
R35,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,150R,
TP13,TestPoint_Pad_1.0x1.0mm,1,VIDEO OUT,
TP5,TestPoint_Pad_1.0x1.0mm,1,"+8,2V",
TP10,TestPoint_Pad_1.0x1.0mm,1,GND,
C10,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,100nF,
TP3,TestPoint_Pad_1.0x1.0mm,1,PPU CLK,
TP4,TestPoint_Pad_1.0x1.0mm,1,POWER SUPPLY IN,
R16,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,150R,
TP12,TestPoint_Pad_1.0x1.0mm,1,AUDIO OUT,
TP1,TestPoint_Pad_1.0x1.0mm,1,CPU CLK,
TP11,TestPoint_Pad_1.0x1.0mm,1,PPU CVBS,
TP7,TestPoint_Pad_1.0x1.0mm,1,CPU AUDIO 1,
TP2,TestPoint_Pad_1.0x1.0mm,1,SYS CLK,
C26,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,150pF,
